id,nombre
1,Novela
2,Ciencia ficción
3,Fantasía
4,Terror
5,Historia
6,Biografía
7,Infantil
8,Juvenil
9,Tecnología
10,Ciencia
11,Misterio
12,Thriller
13,Romance
14,Poesía
15,Ensayo
16,Filosofía
17,Psicología
18,Economía
19,Autoayuda
20,Cómic
