id,nombre
1,Oficial
2,Blue
3,MEP
4,CCL
5,Mayorista
6,Cripto
7,Turista
8,Tarjeta
9,Ahorro
10,Importador
11,Exportador
12,Banco Nación
13,Banco Provincia
14,Banco Galicia
15,Banco Santander
16,Banco BBVA
17,Banco Macro
18,Banco Supervielle
19,Banco ICBC
20,Banco Credicoop
